student_id,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Cluster
1000,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0
1001,0.0,0.25,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0
1002,0.0,0.25,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0
1003,0.0,0.25,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.75,0.0,0
1004,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,1
1005,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.75,0.0,2
1006,0.0,0.25,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0
1007,0.0,0.25,0.0,1.0,0.5,1.0,0.25,0.5,0.0,0.0,0.5,0.5,0
1008,0.0,0.25,0.0,0.0,1.0,0.5,0.25,0.0,0.0,0.5,0.75,0.0,1
1009,1.0,0.25,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,2
1010,1.0,0.5,0.0,0.0,0.5,1.0,0.25,0.0,0.0,0.5,1.0,0.5,1
1011,0.0,0.25,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0
1012,0.0,0.25,0.0,1.0,0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0
1013,0.5,0.25,0.0,0.0,1.0,0.5,0.75,0.5,0.0,0.5,0.75,0.0,1
1014,0.0,0.25,0.5,1.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.5,0
1015,1.0,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.5,2
1016,0.0,0.25,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.75,0.0,2
1017,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.0,0.0,0.5,0.75,0.0,1
1018,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,1.0,0
1019,0.5,0.0,0.5,1.0,1.0,0.0,0.75,0.0,0.0,0.5,0.75,0.0,0
1020,0.5,0.25,0.0,0.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,0.0,1
